Window_ID,Actual_Count,Estimated_Count,Error_Rate(%),Processing_Time(ms),ExaLogLog_Size(KB)
1,131449,131428.61,0.0155,89,1920.00
2,414833,414753.98,0.0190,61,1920.00
3,560375,560488.74,0.0203,63,1920.00
4,389800,390144.01,0.0883,51,1920.00
5,887310,888150.50,0.0947,79,1920.00
6,588507,588416.21,0.0154,62,1920.00
7,304881,304828.82,0.0171,61,1920.00
8,737944,738665.81,0.0978,70,1920.00
9,572872,572882.95,0.0019,61,1920.00
10,313449,313431.73,0.0055,48,1920.00
11,617295,617812.62,0.0839,63,1920.00
12,854402,854500.84,0.0116,73,1920.00
13,839974,839930.80,0.0051,84,1920.00
14,309676,309818.77,0.0461,54,1920.00
15,749369,749581.90,0.0284,68,1920.00
16,636658,636910.56,0.0397,63,1920.00
17,250951,250737.39,0.0851,44,1920.00
18,436871,436972.26,0.0232,53,1920.00
19,604898,604548.99,0.0577,62,1920.00
20,619068,618862.94,0.0331,63,1920.00
21,232626,232772.84,0.0631,44,1920.00
22,522738,522949.33,0.0404,59,1920.00
23,807667,808012.42,0.0428,84,1920.00
24,119152,119184.22,0.0270,37,1920.00
25,634971,635449.37,0.0753,73,1920.00
26,228406,228592.67,0.0817,96,1920.00
27,121163,121164.13,0.0009,38,1920.00
28,145725,145633.88,0.0625,41,1920.00
29,782682,783133.39,0.0577,70,1920.00
30,415913,415907.85,0.0012,54,1920.00
31,325033,325065.42,0.0100,51,1920.00
32,858831,859635.00,0.0936,71,1920.00
33,906329,906601.43,0.0301,145,1920.00
34,55354,55366.34,0.0223,31,1920.00
35,290479,290452.68,0.0091,50,1920.00
36,607613,606956.81,0.1080,61,1920.00
37,369617,369855.42,0.0645,49,1920.00
38,80409,80423.52,0.0181,33,1920.00
39,292120,292138.44,0.0063,46,1920.00
40,215204,214991.37,0.0988,42,1920.00
41,872542,873605.56,0.1219,74,1920.00
42,93849,93955.57,0.1136,33,1920.00
43,516633,516768.85,0.0263,58,1920.00
44,351222,351254.10,0.0091,53,1920.00
45,785799,786352.44,0.0704,69,1920.00
46,977996,978002.46,0.0007,75,1920.00
47,603379,604166.51,0.1305,72,1920.00
48,24595,24610.06,0.0613,28,1920.00
49,160405,160328.74,0.0475,37,1920.00
50,434113,434037.58,0.0174,61,1920.00
51,24651,24668.95,0.0728,29,1920.00
52,997411,997975.17,0.0566,76,1920.00
53,336871,337100.36,0.0681,46,1920.00
54,133950,134031.03,0.0605,38,1920.00
55,583090,582441.16,0.1113,61,1920.00
56,830868,831188.98,0.0386,78,1920.00
57,344021,344235.23,0.0623,131,1920.00
58,293809,293620.34,0.0642,44,1920.00
59,515560,515443.99,0.0225,57,1920.00
60,184601,184591.71,0.0050,38,1920.00
61,156992,157061.37,0.0442,37,1920.00
62,166615,166837.15,0.1333,37,1920.00
63,325467,325442.93,0.0074,47,1920.00
64,435992,436161.33,0.0388,53,1920.00
65,236135,236130.35,0.0020,119,1920.00
66,249286,249164.56,0.0487,52,1920.00
67,662342,662445.43,0.0156,83,1920.00
68,127739,127751.51,0.0098,36,1920.00
69,386126,386262.19,0.0353,50,1920.00
70,205103,204909.31,0.0944,40,1920.00
71,721433,721332.90,0.0139,67,1920.00
72,181139,181121.44,0.0097,38,1920.00
73,988372,988409.12,0.0038,74,1920.00
74,169191,169286.42,0.0564,37,1920.00
75,432752,432388.32,0.0840,51,1920.00
76,998997,1000227.41,0.1232,83,1920.00
77,674992,674847.81,0.0214,72,1920.00
78,630764,630823.12,0.0094,72,1920.00
79,384178,384066.37,0.0291,61,1920.00
80,899806,899499.12,0.0341,170,1920.00
81,182619,182314.48,0.1668,48,1920.00
82,876175,877001.23,0.0943,90,1920.00
83,237070,237055.50,0.0061,43,1920.00
84,319879,320280.43,0.1255,47,1920.00
85,681479,681900.89,0.0619,72,1920.00
86,122635,122513.19,0.0993,42,1920.00
87,82712,82662.63,0.0597,35,1920.00
88,973282,973508.72,0.0233,75,1920.00
89,216328,216409.66,0.0377,41,1920.00
90,847325,847666.66,0.0403,72,1920.00
91,733082,733315.36,0.0318,69,1920.00
92,951148,952203.23,0.1109,82,1920.00
93,909030,908562.73,0.0514,72,1920.00
94,366149,366435.57,0.0783,50,1920.00
95,848758,848205.13,0.0651,72,1920.00
96,904649,904951.01,0.0334,105,1920.00
97,232432,232529.31,0.0419,42,1920.00
98,985319,985366.91,0.0049,75,1920.00
99,66148,66172.99,0.0378,31,1920.00
100,57737,57791.64,0.0946,32,1920.00
